nama;partai;dapil
AGUS ANWAR MOKA SE. M.Si;partai gerakan indonesia raya;Sulawesi Selatan I
AGUS FATCHUR RAHMAN S.H., M.H.;partai golongan karya;Jawa Tengah IV
dr AGUS GUNAWAN;partai persatuan pembangunan;Jawa Tengah IX
AGUS HENDRO PRAYITNO;partai kebangkitan bangsa;Kalimantan Barat I
AGUS HIDAYAT PRAYUDHA SE, MM;partai bulan bintang;Jawa Barat VIII
AGUS ISMAIL S.Si, M.Eng;partai keadilan sejahtera;Nusa Tenggara Timur I
AGUS LOMARA SEMBIRING;persatuan indonesia;Jambi
AGUS MAIMUN SE, M. HP;partai amanat nasional;Jawa Timur IX
AGUS MARZUKI S.PdI;partai golongan karya;Jawa Timur IV
AGUS MIFTAH S.H., SpN;persatuan indonesia;Jawa Tengah IX
Ir AGUS PETRUS SIMORANGKIR;partai nasdem;Sumatera Utara I
AGUS PRASTOWO;partai amanat nasional;Jawa Timur VI
AGUS PURMANTO SH. M.Si;partai kebangkitan bangsa;Jawa Tengah V
Drs AGUS RAWAN S.H, M.M, M.Si;persatuan indonesia;Jawa Barat VI
AGUS SAHID;partai gerakan indonesia raya;Jawa Tengah V
Drs AGUS SALIM;partai gerakan indonesia raya;Lampung II
AGUS SUPRIYADI SE;persatuan indonesia;Jawa Barat VIII
AGUS SUSANTO S.H.,M.H.;partai demokrasi indonesia perjuangan;Sumatera Barat II
AGUS SUTIKNO;partai persatuan pembangunan;Sumatera Selatan II
H AGUS TRI RAHARJO ,SE;partai nasdem;Jawa Tengah V
AGUS WELIANTO SANTOSO S.H.;partai demokrasi indonesia perjuangan;Jawa Barat XI
AGUS WIDODO;partai amanat nasional;BALI
AGUS YULIARTO EKO SUHARTO PUTRO S.E.;partai keadilan sejahtera;Kalimantan Tengah
AGUSNAN;partai berkarya;Sumatera Selatan I
AGUSSALIM S.Ag;partai persatuan pembangunan;Jawa Barat XI
AGUSTIANI TIO FRIDELINA;partai demokrasi indonesia perjuangan;Jambi
AGUSTINA ANAKOTTA FOEH SH;partai gerakan indonesia raya;Nusa Tenggara Timur II
AGUSTINA HAYATI DUPA MELAHA S.T.;partai golongan karya;Sulawesi Tengah
AGUSTINA ROMZA SE;partai persatuan pembangunan;Jawa Tengah II
AGUSTINA WATI S.Sos.;partai bulan bintang;Lampung I
AGUSTINUS ADI SRI TJAHJONO SE;persatuan indonesia;Jawa Tengah IV
AGUSTINUS BUDIONO S. Th;persatuan indonesia;Lampung II
AGUSTINUS P. R. LENGKOAN S.Sos;partai kebangkitan bangsa;Sulawesi Tengah
AGUSWANTI L;partai persatuan pembangunan;Riau II
AHDIAN NOOR ST;partai solidaritas indonesia;Kalimantan Barat II
AHMAD A?INUT TAUFIQ;partai golongan karya;Jawa Tengah III
AHMAD ADLY FAYRUZ;partai nasdem;Jawa Tengah I
AHMAD AFFAN ASY SYADDATH;partai gerakan perubahan indonesia;Jawa Timur IX
AHMAD AHLA;partai kebangkitan bangsa;Jawa Timur VI
AHMAD ASWAN WARUWU SE.,M.S.M;partai amanat nasional;Sumatera Utara I
AHMAD AZZAM AL QOYYIMUDDIN;partai amanat nasional;Jawa Timur IV
AHMAD BAHTIAR SEBAYANG SE;partai gerakan indonesia raya;Jawa Barat X
Ir AHMAD BAKRI PUTRA M.B.A.;partai golongan karya;Jawa Tengah VII
AHMAD BAY LUBIS S.H., M.H.;partai berkarya;Sumatera Utara III
H AHMAD BUCHORY MUSLIM S.Ag, SH, MA;partai amanat nasional;Jawa Barat VI
AHMAD DHANI PRASETYO;partai gerakan indonesia raya;Jawa Timur I
AHMAD FAELASUF;partai nasdem;Jawa Tengah III
AHMAD FAIDONI HARIRI;partai bulan bintang;Jawa Tengah II
AHMAD FAISAL S.HI;partai kebangkitan bangsa;Jawa Barat VII
Dr AHMAD FARHAN HAMID MS;partai amanat nasional;Aceh II
AHMAD FATHUL BARI S.Hum., M.S.M.;partai keadilan sejahtera;Nusa Tenggara Timur II
AHMAD FITRIADI MUNAR;partai solidaritas indonesia;Sumatera Utara I
AHMAD FUAD S.H;partai golongan karya;Sumatera Selatan I
AHMAD HADARIY S.Ag;partai gerakan indonesia raya;Kalimantan Barat I
AHMAD HANAFI MBA;partai keadilan sejahtera;Jawa Tengah X
Ir AHMAD HUSIN SIREGAR M.M.;partai golongan karya;Sumatera Utara II
AHMAD IMAN;partai kebangkitan bangsa;Dki Jakarta II
AHMAD IRAWAN S.H;partai golongan karya;Jawa Timur V
AHMAD JAYA ADIGUNA;partai berkarya;Jawa Barat X
AHMAD KHADAFI WIBOWO LUBIS MS;partai amanat nasional;Sumatera Utara II
AHMAD KHOLID SUYONO S.H;partai persatuan pembangunan;Jawa Tengah III
AHMAD KHOLISUN S.Pd.I;partai persatuan pembangunan;Jawa Barat II
AHMAD LABIB S.H.I., M.H.;partai golongan karya;Jawa Timur X
AHMAD MUHAJIR SE.MM;partai berkarya;Jawa Barat V
AHMAD MUHAMAD NUR;partai amanat nasional;Jawa Timur V
AHMAD NABIL;partai solidaritas indonesia;Aceh I
AHMAD NAUSRAU S.Pd.I. MM;partai gerakan indonesia raya;Papua Barat
AHMAD NIZAR S.IP;partai keadilan sejahtera;Jawa Tengah III
AHMAD NURUL FAJRI SS;partai bulan bintang;Jawa Barat III
AHMAD RIANTO A.Md;partai berkarya;Sumatera Barat I
AHMAD RIZAL;partai amanat nasional;Jawa Barat III
AHMAD ROHIM S.Pd.I., MA;partai bulan bintang;Jawa Tengah III
AHMAD ROHMATULLOH;partai persatuan pembangunan;Jawa Tengah III
AHMAD ROYANDI S.H., M.H.;partai kebangkitan bangsa;Jawa Barat VIII
AHMAD SA'ID S. Kom;partai persatuan pembangunan;Jambi
AHMAD SAEJO BUDIAWAN;partai kebangkitan bangsa;Riau I
AHMAD SUBAIRI S.Pd.I;persatuan indonesia;Jawa Timur II
AHMAD THAMRIN HARAHAP SH;partai persatuan pembangunan;Sumatera Utara II
AHMAD ULYA;partai persatuan pembangunan;Lampung II
AHMAD YANUAR RIKZA;partai gerakan indonesia raya;Jawa Tengah II
AHMAD ZAINUDDIN S.H;partai kebangkitan bangsa;Sulawesi Barat
AHMAD ZULKIFLI S.S.T.Par;partai golongan karya;Jawa Timur VIII
Ir AHMADI NOOR SUPIT;partai golongan karya;Kalimantan Selatan I
AHMADI SOPYAN;partai gerakan indonesia raya;Kep. Bangka Belitung
AHMI SEPTARI B.Bus., M.Prop;persatuan indonesia;Riau I
AHNIYUS AHMAD;partai amanat nasional;Sumatera Barat I
dr AIDA SHOFIA MASHAR;partai gerakan indonesia raya;Jawa Timur XI
AINAL MARDHIAH;partai gerakan indonesia raya;Aceh I
AINAUL MARDLIYYAH;partai persatuan pembangunan;Jawa Tengah III
AINUL YAQIN S.Ag. M.Si;partai persatuan pembangunan;Jawa Timur II
AIRMA VENESIA;partai amanat nasional;Riau I
AIRYN EKI SHANDY;partai solidaritas indonesia;Sulawesi Selatan II
AJENG FITRIANI;partai persatuan pembangunan;Jawa Barat XI
DRA AJI NURUL FARISYAH NATA;partai amanat nasional;Kalimantan Timur
Ir AJUANSYAH PUTRA S;partai bulan bintang;Jawa Barat I
AJUB T. TASOIN SS;partai solidaritas indonesia;Nusa Tenggara Timur II
AKHMAD ANSORI SE;partai persatuan pembangunan;Kalimantan Tengah
AKHMAD ASGHORI M.Si;partai kebangkitan bangsa;Banten II
Dr. Ir. H AKHMAD BAKHTIAR AMIN M.Sc., M.Si;partai bulan bintang;Jawa Barat X
AKHMAD FATHONI FUTHAKI S.Sos;partai kebangkitan bangsa;Kalimantan Utara
AKHMAD GOJALI S.Ag., M.Si.;partai golongan karya;Dki Jakarta I
AKHMAD JUNAIDI S.I.P., M.Si;partai golongan karya;Jawa Tengah VI
AKHMAD NASTAIN RADITYA SE;partai bulan bintang;Jawa Tengah III
AKHMAD TAUFIK MOEKHIT;partai persatuan pembangunan;Jawa Timur VIII
AKMAL HANIF;partai persatuan pembangunan;Aceh II
AL DILA MAUDINA;partai kebangkitan bangsa;Jawa Tengah I
AL QADRI ARIEF SH;partai amanat nasional;Sulawesi Tenggara
Drs ALAMAT SINAMBELA;partai berkarya;Sumatera Utara II
ALBERT MARTINUS;partai solidaritas indonesia;Jawa Barat VII
Ir ALBERT P. SILITONGA;partai gerakan indonesia raya;Sumatera Utara II
Ir ALBERT SIMANGUNSONG MSI;partai nasdem;Jambi
ALBERTH YOGI S.Pd;partai demokrasi indonesia perjuangan;Papua
ALBERTIEN ENANG PIRADE S.E., M.Sc;partai golongan karya;Sulawesi Selatan III
ALBERTUS P SITANGGANG;partai solidaritas indonesia;Lampung I
