nama;partai;dapil
Dr HJ. RENI MARLINAWATI;partai persatuan pembangunan;Jawa Barat IV
HJ. RENNY SOEDIRO;partai golongan karya;Jawa Barat X
Ir HJ. REYHANANI BAHAR SYAMSUL M. Pd.;partai keadilan sejahtera;Jawa Barat I
dr HJ. RIMA FITRIANI;partai keadilan sejahtera;D. I. Yogyakarta
HJ. RINA YULIA MARTINA;persatuan indonesia;Jawa Barat II
HJ. RINI GUSTIANA S.Psi;partai demokrasi indonesia perjuangan;Kalimantan Timur
HJ. RINIE AMALUDDIN S.H., M.Si;partai golongan karya;Banten II
HJ. RISMAYANI;partai golongan karya;Sulawesi Selatan II
HJ. ROKAYAH S.Pd.I;partai bulan bintang;Dki Jakarta III
Dr HJ. ROSIYATI MH THAMRIN S.E, M.M.;partai demokrasi indonesia perjuangan;Kalimantan Selatan I
HJ. ROSYE DEWI RUSANTI S.Pd;partai keadilan sejahtera;Jawa Barat II
HJ. SAFITRI MALIK SOULISA S.IP;partai demokrasi indonesia perjuangan;Maluku
Dr HJ. SAFRIDA RUMONDANG P. TAMBUNAN S.E.,Ak.,MSi;partai keadilan sejahtera;Sumatera Utara III
HJ. SARIYANI S.H;partai kebangkitan bangsa;Kalimantan Tengah
Dra HJ. SB. WIRYANTI SUKAMDANI;partai demokrasi indonesia perjuangan;Dki Jakarta I
HJ. SEPTIATIRIN S.E., M.M.;partai demokrasi indonesia perjuangan;Sumatera Selatan II
HJ. SITI MARIANI S.Sos.,M.M.;partai demokrasi indonesia perjuangan;Jawa Barat VIII
Dra HJ. SITI MASRIFAH MA;partai kebangkitan bangsa;Banten III
Dra HJ. SITI NUR ZULAIKHA;partai amanat nasional;Jawa Tengah IV
HJ. SITI NURMILA;partai persatuan pembangunan;Jawa Barat VII
Dra HJ. SITI UBAIDAH M.M;partai golongan karya;Banten III
HJ. SOFIYATUN ROMLI S.Kep.Ns;partai gerakan indonesia raya;Jawa Timur XI
Dra HJ. SRI ENDANG HANDAYANI;partai keadilan sejahtera;Jawa Barat VI
HJ. SRI ENDANG YAMIN S.Pd;partai keadilan sejahtera;Gorontalo
DRA HJ. SRI GUNARSI SH., MH;partai amanat nasional;Jawa Tengah IV
Dra HJ. SRI UTHARI SALMAN FARIS M.A;partai golongan karya;Nusa Tenggara Barat I
HJ. SUMARNI ANTULE S.SOS;partai amanat nasional;Gorontalo
HJ. SUNARTI SH;partai persatuan pembangunan;Kalimantan Selatan II
HJ. SUPRIATI S.Sos;partai golongan karya;Riau II
HJ. SUSANTI AGUSTINA SH, MH;partai gerakan indonesia raya;Kalimantan Timur
HJ. SUSILAWATI SE;partai gerakan indonesia raya;Jawa Barat VII
HJ. SYARIFAH SANTIYANSYAH S.H.;partai golongan karya;Kalimantan Selatan II
DR HJ. TELLY P ULVIANA M.Si;partai golongan karya;Sumatera Selatan II
HJ. TENRI OLLE YASIN LIMPO, S.H., M.SI;partai nasdem;Sulawesi Selatan I
HJ. TITIK PRASETYOWATI VERDI S.H., M.H.;partai nasdem;Jawa Timur VI
Dra HJ. ULHA SORAYA;partai kebangkitan bangsa;Jawa Barat VI
HJ. VERA SUSANTI S.AG., M.PD;partai kebangkitan bangsa;Jawa Barat VII
Dra HJ. WARDATUL ASRIAH;partai persatuan pembangunan;Jawa Barat VII
DRA HJ. WARDATUN NA'IM;partai persatuan pembangunan;Jawa Barat X
HJ. WIWIS SUHARTI;partai keadilan sejahtera;Kalimantan Barat I
HJ. YENI ANJANI JUWITA PUTRI SE;partai amanat nasional;Jawa Tengah II
HJ. YULIDAR ANGGRIA ST;partai keadilan sejahtera;Jawa Barat XI
HJ. ZAHRINA NURBAITI S.Sos,S.Sos.I, MM;partai keadilan sejahtera;Dki Jakarta II
HJ. ZETRAWATI ANWAR A.MD;persatuan indonesia;Sumatera Barat I
HJ. ZUHARIAH MARSAM;partai nasdem;Jawa Timur XI
Dra HJ. ZULHAFAH;partai gerakan indonesia raya;Aceh I
HJ.HERNY AGUS AMBO DJIWA S.Sos, M.Si;partai demokrasi indonesia perjuangan;Sulawesi Barat
HJ.MUNASI'AH NADJAMUDDIN;partai bulan bintang;Sulawesi Selatan II
DR HM ANWAR RACHMAN SH, MH,;partai kebangkitan bangsa;Jawa Timur VIII
Drs. EC HM SUPRIADI;partai keadilan sejahtera;Jawa Timur XI
HM. RIZAL FADILLAH SH;partai amanat nasional;Jawa Barat I
Ir HM. SLAMET WARSITO MT;partai berkarya;Jawa Tengah I
Ir HM. SUAIB DIDU MM;partai berkarya;Sulawesi Selatan III
HM. TAUHID S.IP;persatuan indonesia;Sumatera Barat I
HOIRIYAH S.Pd.I;partai persatuan pembangunan;Jawa Timur XI
HOIRIYAH;partai keadilan sejahtera;Jawa Timur I
HOIRUN NISAK;partai golongan karya;Jawa Timur XI
HOIST ZULKARNAIN BACHTIAR;partai golongan karya;Sulawesi Selatan I
HONING SANNY;partai golongan karya;Nusa Tenggara Timur I
HOTBEN SINAGA ST;partai solidaritas indonesia;Sumatera Utara I
HOTMA ROLAND PASARIBU;partai solidaritas indonesia;Jawa Barat VI
Dr HOTMA RUMAHROBO MS, EPID;partai berkarya;Sulawesi Utara
HOTMAIDA TAMPUBOLON;partai demokrasi indonesia perjuangan;Sumatera Utara II
HOTMAN LASUT;partai bulan bintang;Jawa Timur VII
Dr. Drs HR. PERMADI MULAJAYA M.Si., M.Pd;partai demokrasi indonesia perjuangan;Jawa Tengah III
HR. SUNARYO S.H., M.M;partai golongan karya;Lampung II
Dra HULDA IDA IMBIRI M.M;partai golongan karya;Papua
HUSAINI MH;partai demokrasi indonesia perjuangan;Aceh II
HUSIN SHAHAB;partai solidaritas indonesia;Jawa Timur XI
Ir HUSIN YAZID M.Si;partai kebangkitan bangsa;Dki Jakarta III
HUSNA M.Ag;partai gerakan indonesia raya;Riau II
HUSNA YULIDA;partai solidaritas indonesia;Kalimantan Selatan II
HUSNI JUMAT S.Sos.I;partai bulan bintang;Maluku Utara
HUSNUL KHATIMAH ST;partai gerakan indonesia raya;Kalimantan Selatan I
HUZAEFAH;persatuan indonesia;Nusa Tenggara Barat II
Dra I G. AGUNG PUTRI ASTRID K. M.A.;partai demokrasi indonesia perjuangan;BALI
I GEDE ARIAWAN S.I.P., M.I.P;partai golongan karya;BALI
I GUSTI AGUNG AYU SRI PUSPA DEWI S.T;partai golongan karya;BALI
I KETUT DARMADI;partai solidaritas indonesia;BALI
Drs I KETUT SUDIKERTA;partai golongan karya;BALI
I MADE CAKRA IRAWAN S.T.;partai solidaritas indonesia;BALI
I MADE DANA SH;persatuan indonesia;BALI
I MADE KARI ST;partai gerakan indonesia raya;BALI
Drs I MADE SUARA M.Pd;persatuan indonesia;BALI
I MADE SURYA ARCANA;partai nasdem;BALI
I MADE WIJAYA S.Kom;partai golongan karya;BALI
I NENGAH YASA ADI SUSANTO S.H., M.H;partai solidaritas indonesia;BALI
I NYOMAN LUKIUS UTOMO;partai gerakan indonesia raya;BALI
I NYOMAN SUDANA;persatuan indonesia;BALI
I WAYAN GEREDEG S.H., M.A.P;partai golongan karya;BALI
I WAYAN KUSMINTHA DUSAK;partai berkarya;BALI
I WAYAN SUARNA S.Sos;partai solidaritas indonesia;BALI
I WAYAN SUKLA ARNATA;persatuan indonesia;BALI
I WAYAN SUNARTA;partai gerakan indonesia raya;BALI
I WAYAN WETHA;partai berkarya;BALI
IAN KASELA;partai demokrasi indonesia perjuangan;Kalimantan Selatan I
IAN P. SIAGIAN;partai demokrasi indonesia perjuangan;Riau I
IBNU AQIL;partai persatuan pembangunan;Aceh I
Ir IBNU DHARTO S.T;partai bulan bintang;Jawa Tengah IX
Ir IBNU MAHMUD BILALLUDIN;partai amanat nasional;D. I. Yogyakarta
IBNU UTAMA ST;partai bulan bintang;Sumatera Selatan I
IBRAHIM ALI SH;partai bulan bintang;Riau II
IBRAHIM KADIR TUASAMU S.H.,M.M;persatuan indonesia;Jawa Barat VI
IBRAHIM SAKTI BATUBARA;partai amanat nasional;Sumatera Utara I
ICIH MINTARSIH S.Pd;partai keadilan sejahtera;Jawa Barat X
IDA AYU RATIH KUMALASARI AMA.Par;partai solidaritas indonesia;BALI
IDA AYU TRISNAMURTI SH;persatuan indonesia;Nusa Tenggara Barat II
IDA BAGUS OKA GUNASTAWA;partai nasdem;BALI
IDA BAGUS PUTU PARTA, SE.;partai berkarya;BALI
IDA BAGUS PUTU SUKARTA SE., M.Si;partai gerakan indonesia raya;BALI
IDA FARIDA;partai berkarya;Lampung I
IDA NOVELINA S.E.;partai demokrasi indonesia perjuangan;Papua Barat
IDA NUR KHASANAH S.kom;persatuan indonesia;Jawa Tengah I
IDA NURHAIDAH;partai persatuan pembangunan;Jawa Barat X
IDA RAYANTINI. A SE;partai amanat nasional;Kalimantan Selatan II
IDA ROCHMAWATI S.Di;partai keadilan sejahtera;Jawa Timur II
Dra IDA WIDANINGSIH M.Pd;persatuan indonesia;Jawa Barat I
IDA YANI NASROEN S. S;partai bulan bintang;Sumatera Barat I
IDAWATI S.E;partai kebangkitan bangsa;Aceh I
IDHAM ARSYAD;partai kebangkitan bangsa;Sulawesi Selatan III
IDHAM KHALID;partai gerakan indonesia raya;Sulawesi Selatan III
IDIL FITRI;persatuan indonesia;Kalimantan Barat II
IDRUS SHAHAB;partai amanat nasional;Sumatera Selatan II
IDY MUZAYYAD;partai persatuan pembangunan;Jawa Tengah VI
IFFAH NOVIANTI S.E.;partai bulan bintang;Jawa Timur I
IHSANA NURLAILA SE;partai berkarya;Sulawesi Tenggara
Ir IIM NUROCHIMAH M.Si;partai keadilan sejahtera;Jawa Barat III
IIN INDARWATI;partai bulan bintang;Jawa Tengah V
IIP WIJAYANTO;partai persatuan pembangunan;D. I. Yogyakarta
IIS AISAH S.E.I., M.Si.;partai golongan karya;Jawa Barat VIII
IIS APRIYANI;partai kebangkitan bangsa;Banten I
IIS PRAMUDYAWATI;partai amanat nasional;Jawa Tengah V
IIS ROSMERIA;partai bulan bintang;Jawa Tengah II
DRA IIS YENI SURYANI;partai bulan bintang;Nusa Tenggara Timur I
IKA FATMAWATI S.E., M.Si., M.M.;partai demokrasi indonesia perjuangan;Sulawesi Tengah
IKA LESTARI;partai solidaritas indonesia;Aceh II
IKA MAYLINA SUSAN;partai solidaritas indonesia;Banten I
IKA RUSTIKASARI;partai solidaritas indonesia;Kalimantan Barat II
IKA WULANDARI;partai persatuan pembangunan;Sumatera Utara I
H IKBAL SAYUTI SE;partai persatuan pembangunan;Riau II
IKE MEDYAWATI SETIARINI S.Si., Apt;partai keadilan sejahtera;Jawa Barat IX
IKE SUKMASARI;persatuan indonesia;Jawa Tengah IV
IKHSAN K. SUHARTONO S.Si., APT.;partai bulan bintang;Jawa Barat I
IKHWANUL AULIA;partai amanat nasional;Sulawesi Utara
Dr IKKE DEWI SARTIKA Dra., M.Pd;partai golongan karya;Jawa Barat II
ILHAM AM. SH;partai berkarya;Banten I
ILHAM BUDHI PRASETIJA;partai keadilan sejahtera;Jawa Timur IX
ILHAM NOER PUTRI S.H;partai golongan karya;Sulawesi Selatan II
ILHAM PERMANA;partai golongan karya;Jawa Barat V
ILIN WILYANIE;partai keadilan sejahtera;Jawa Barat IX
ILYANI SUDARDJAT ST;partai bulan bintang;Lampung II
IMA WIDYAWATI;partai amanat nasional;Jawa Timur VI
Drs IMAM ADDARUQUTNI;partai solidaritas indonesia;Jawa Timur VI
IMAM BUDIMAN BE., SP., M.SI;partai kebangkitan bangsa;Jawa Barat IX
IMAM HUSSAIDA S.T;partai amanat nasional;Banten I
IMAM NAHRAWI;partai kebangkitan bangsa;Dki Jakarta I
IMAM PRIHADIYOKO;partai amanat nasional;Sumatera Selatan II
IMAM SUBALI;partai kebangkitan bangsa;Dki Jakarta II
IMAN ADINUGRAHA SE, AKT, CA;partai amanat nasional;Jawa Barat IV
IMAN DWI SAPUTRO SH;partai nasdem;Jawa Tengah X
IMAN HIMAWAN S.Pd;partai kebangkitan bangsa;Jawa Barat IX
IMAS AAN UBUDIAH S.PDI;partai kebangkitan bangsa;Jawa Barat XI
IMAS KARYAMAH M.Pd;partai bulan bintang;Jawa Barat II
Hj IMAS SUSILAWATI S.Pd, M.Si;partai nasdem;Jawa Barat IX
IMELDA DIANA RONDONUWU S.E., M.Si;partai golongan karya;Sulawesi Utara
IMELDA KUEN S.K.M., M.Si.;partai berkarya;Kalimantan Barat II
IMELDA LILIANA;partai golongan karya;Sulawesi Barat
HJ IMELDA SARI SS;partai demokrat;Jawa Timur VII
IMRAN MUCHTAR BSC, SH;partai kebangkitan bangsa;Sumatera Utara III
IMRON KASIDI SE;persatuan indonesia;Sumatera Selatan II
INDAH CAHYANI PUTRI S.Sos;partai persatuan pembangunan;Sumatera Utara II
INDAH LESTARI;partai berkarya;Jawa Barat III
INDAH MUKTININGTIAS SE;partai gerakan indonesia raya;Dki Jakarta I
INDAH NURSYAMSIAH;partai persatuan pembangunan;Kepulauan RIAU
INDAH PERMATA SARI;partai solidaritas indonesia;Sumatera Selatan II
INDAH PURWANTI;partai solidaritas indonesia;Jawa Tengah VI
INDAH SRI HUDATI S.Hi;partai kebangkitan bangsa;Jawa Tengah IV
INDASAH;partai keadilan sejahtera;Kalimantan Tengah
INDAYASARI;partai solidaritas indonesia;Sumatera Selatan II
INDI NUROINI SH., SHI;partai amanat nasional;Jawa Timur IV
INDIRA JUSUF ISMAIL;persatuan indonesia;Sulawesi Selatan I
INDIRA RATNA NINGSIH SH;partai berkarya;Dki Jakarta III
INDIRAYANI KOSTININGTYAS, SE;partai berkarya;Jawa Barat VII
INDRA SH. MH;partai keadilan sejahtera;Banten III
INDRA AULIA NUGRAHA;partai demokrasi indonesia perjuangan;Jawa Tengah II
INDRA BUANA TANJUNG SH;partai amanat nasional;Sumatera Utara I
Dr INDRA BUDI SUMANTORO S.Pd, M.M;partai solidaritas indonesia;Jawa Tengah VIII
INDRA DUWILA SH;partai berkarya;Dki Jakarta II
INDRA GOBEL;partai amanat nasional;Kepulauan RIAU
INDRA GURU ROOSMONO;partai amanat nasional;Jawa Barat IV
INDRA MAULANA SS;partai nasdem;Jawa Timur I
INDRA SURYANTO IR;partai persatuan pembangunan;Sumatera Utara III
Ir INDRA SYARIF;partai berkarya;Sumatera Barat I
INDRA WAHYUDI;partai gerakan indonesia raya;Jawa Barat II
INDRAJAYA SE;partai kebangkitan bangsa;Papua
Ir INDRAWAN M.M;partai golongan karya;Kalimantan Barat I
INDRIYATI;partai demokrasi indonesia perjuangan;Kepulauan RIAU
INGE MARIA FRANSISCA;partai solidaritas indonesia;Jawa Timur III
INGE YASMINE;partai solidaritas indonesia;Jawa Tengah II
INNA IVANOVIA SOEBROTO;partai solidaritas indonesia;Dki Jakarta III
INTAN AZIZAH;partai nasdem;Banten II
INTAN NURUL HIKMAH S.E, BBA;persatuan indonesia;Banten III
INTAN PANDINI;partai kebangkitan bangsa;Papua Barat
IQLIMA ROIHANI;partai gerakan indonesia raya;Jawa Tengah II
IR BAMBANG SUSILO, MM;partai nasdem;Kalimantan Timur
IR LUTFI HALIDE, MP;partai nasdem;Sulawesi Selatan II
IR. BAKTI SETIAWAN SURAPATY. S.SOS. MM;partai nasdem;Sumatera Selatan I
IR. HJ. NENDEN TRESNANURSARI, M.SI;partai keadilan sejahtera;Lampung II
IR. HJ. TUTI ELFITA M.SI.;partai keadilan sejahtera;Banten III
IR. IIS LATIFAH;partai gerakan indonesia raya;Jawa Tengah X
IR. RUSMIN LATARA;partai nasdem;Maluku Utara
IR. SUGIYANTAKA ARI BAWA;partai nasdem;Jawa Tengah IV
IR.HANTONI HASAN M.SI;partai keadilan sejahtera;Lampung I
IRA HADIATI SH;partai berkarya;Aceh I
IRA LAILA NUR QADAR;partai bulan bintang;Jawa Barat IX
IRA SOFIA;partai keadilan dan persatuan indonesia;BALI
IRA YUANITA S.Sos;persatuan indonesia;Jawa Timur V
IRAMA ANGKAT S.Sos.I., M.Si;partai golongan karya;Sumatera Utara III
IRAMAYA S.pd;persatuan indonesia;Papua Barat
IRAWATI MOERID;partai amanat nasional;Dki Jakarta II
dr IRENE;partai gerakan indonesia raya;Papua
IRENE MANIBUY SH;partai kebangkitan bangsa;Papua Barat
IRENE RATNA KARTIKA SAPTI;partai golongan karya;Nusa Tenggara Timur I
IRENI ALEXANDRIA;partai solidaritas indonesia;Nusa Tenggara Timur II
IRFAN HAMZAH MARKI;partai kebangkitan bangsa;Jawa Barat XI
H IRFIANDA ABIDIN SE;partai bulan bintang;Sumatera Barat I
IRHAM MAULIDY HR S.Sos.;partai gerakan indonesia raya;Jawa Timur XI
IRIANSYAH HN RIZAL;partai keadilan sejahtera;Kalimantan Barat I
IRJEN POL. (PURN) ALBERTO P. SIMANJUNTAK;partai demokrasi indonesia perjuangan;Sumatera Utara II
IRKHAM MAHFUDZ S.H.I;partai persatuan pembangunan;Jawa Tengah V
IRMA SE;partai berkarya;Lampung II
IRMA AMALIA S.psi.,M.psi;partai amanat nasional;Jawa Barat IV
IRMA FIKA ADITA S.Kom;partai demokrasi indonesia perjuangan;Kep. Bangka Belitung
IRMA HANDAYANI;partai berkarya;Lampung II
IRMA RAHAYU NASUTION;partai gerakan indonesia raya;Lampung II
Ir IRMA SUSANA HANDAYANI;partai keadilan sejahtera;Jawa Barat XI
IRMA SUSANTI S.Pd.I;partai persatuan pembangunan;Jawa Barat III
IRMANIAH S.E.;partai nasdem;Jawa Timur III
IRMAWATY HABIE SH;partai gerakan indonesia raya;Sulawesi Selatan I
IRSYAD;persatuan indonesia;Dki Jakarta I
IRVAN ARIFIANTO S.H;persatuan indonesia;Jawa Tengah V
IRVAN DJ NOUK SP;partai amanat nasional;Sulawesi Tengah
dr IRVAN HERMAN;partai amanat nasional;Riau I
IRVAN NASRUN ST;persatuan indonesia;Jawa Barat XI
IRVAN RIVANI FAZA;partai gerakan indonesia raya;Jawa Barat XI
Ir IRWAN ARDI HASMAN;partai gerakan indonesia raya;Jawa Barat III
IRWAN SUGANDI SH;partai amanat nasional;Sumatera Barat I
IRWAN TONGARI S.E.;partai demokrasi indonesia perjuangan;Sumatera Selatan I
IRWANDA SYARIF HAMDANI;partai solidaritas indonesia;Jawa Tengah X
IRWANSYAH S.H., M.H.;partai keadilan sejahtera;Sumatera Utara I
IRWANSYAH SALEH KUSUMA S.E.;partai demokrasi indonesia perjuangan;Kepulauan RIAU
IRWANUDDIN S.Si, M.Eng.;partai bulan bintang;Maluku Utara
ISA FIRDAUS;partai amanat nasional;Jawa Timur VI
ISEBETH KOGOYA S.PAK. MM;partai amanat nasional;Papua
ISHFAH ABIDAL AZIZ SHI;partai kebangkitan bangsa;Jawa Timur VIII
ISKANDAR H. P. SITORUS SH;partai gerakan indonesia raya;Sumatera Utara I
ISKANDAR ZULKARNAIN GUMAY S.Sos;persatuan indonesia;Jawa Timur I
ISLAH JAUHAROH;partai kebangkitan bangsa;Jawa Tengah VIII
ISMAIL ABUBAKAR SE;partai berkarya;Sumatera Selatan I
ISMAIL HAMID SE;partai bulan bintang;Sulawesi Selatan II
ISMAIL NOVENDRA;partai berkarya;Sumatera Barat I
H ISMAIL SIREGAR SH;partai bulan bintang;Dki Jakarta I
ISMAN ASSO;persatuan indonesia;Papua
Prof. Dr. Ir ISMAN KADAR MM;persatuan indonesia;Jawa Barat V
ISMAR SYAFRUDDIN SH., M.A;partai bulan bintang;Jawa Barat VI
ISMATUL FAUZAH SH;partai kebangkitan bangsa;Jawa Tengah VII
ISMED SURYA RAHMAN;partai solidaritas indonesia;Kalimantan Timur
ISMI DIANG MEILAN;partai solidaritas indonesia;Jawa Barat X
Dr.Ir ISMUDI MUCHSIN;persatuan indonesia;Jawa Barat V
ISNANI MARTUTI SE;persatuan indonesia;Bengkulu
ISNAWATY;partai persatuan pembangunan;BALI
ISPRIYANI;partai keadilan sejahtera;Lampung I
ISTAJIB AS;partai persatuan pembangunan;Jawa Tengah II
ISWADI M.Pd;partai bulan bintang;Aceh II
Ir ISWAN ABDULLAH ME;partai keadilan sejahtera;Kepulauan RIAU
ISWANDHY SYARULY S.H.,M.M;persatuan indonesia;Sumatera Barat I
ISWANDI A.Md.;partai nasdem;Lampung I
ISWIYANTI WIDYAWATI;partai keadilan sejahtera;Jawa Timur I
ITA ANGELIA;partai solidaritas indonesia;Jawa Timur IX
ITA JULAEHA;partai kebangkitan bangsa;Jawa Barat II
ITA SAHERNI GUMAY;partai golongan karya;D. I. Yogyakarta
ITEH SIMON;partai amanat nasional;Sumatera Selatan I
ITET TRIDJAJATI SUMARIJANTO MBA;partai demokrasi indonesia perjuangan;Lampung II
ITHA SALEEM;partai solidaritas indonesia;Kalimantan Barat I
IVAN DESTIAN BUTAR BUTAR S.E;partai solidaritas indonesia;Dki Jakarta III
IVAN DOLY;partai golongan karya;Dki Jakarta III
IVONNY DIANA TALLO SH;persatuan indonesia;Nusa Tenggara Timur II
IVY PURWITA HESTUTI;partai golongan karya;D. I. Yogyakarta
Ir IWA GARTIWA MM;partai gerakan indonesia raya;Jawa Barat II
Drs IWAN H.S.W;partai solidaritas indonesia;Dki Jakarta II
IWAN RIDWAN, SH;partai berkarya;Jawa Barat II
IWAN ROBERTO;partai amanat nasional;Banten III
IWAN SAMARIANSYAH S.Si, M.Si;persatuan indonesia;Kalimantan Utara
IWAN SATRIAWAN;partai amanat nasional;BALI
IWAN SETIA PUTRA S.H;partai kebangkitan bangsa;Kalimantan Tengah
Ir IWAN SUMULE;partai gerakan indonesia raya;Dki Jakarta I
IWIRIANI S.Pd.I;partai keadilan sejahtera;Kalimantan Selatan I
IYET RACHMAWATI SH;partai berkarya;Jawa Barat III
IZZAH RUFAIDAH S.PSI;partai persatuan pembangunan;Jawa Tengah IX
Drs J.B. AMIRANTO M.Si., Ak., C.A;partai demokrasi indonesia perjuangan;Jawa Timur I
JA'FAR SHODIQ;partai persatuan pembangunan;D. I. Yogyakarta
JABAL NATSIR SE;partai amanat nasional;Sulawesi Selatan I
JACOBUS K. MAYONG PADANG;partai demokrasi indonesia perjuangan;Sulawesi Selatan III
JAELANI S.IP., M.Si;partai kebangkitan bangsa;Sulawesi Tenggara
JAFFRAY BITTIKAKA;persatuan indonesia;Sulawesi Tenggara
JAHRATUN NISYA;partai amanat nasional;Kalimantan Selatan I
JAINUN AHMAD BANSIR;partai gerakan indonesia raya;Kalimantan Utara
JAJUK SITI NURHAQIMAN;partai keadilan sejahtera;Jawa Timur IV
JAKA SETIAWAN ST. M.Si;partai gerakan indonesia raya;Banten I
JAMAL MIRDAD;partai gerakan indonesia raya;Jawa Tengah I
JAMALUDIN SE;partai persatuan pembangunan;Aceh II
JAMALUDIN S.KEP., M.KEP.;partai persatuan pembangunan;Jawa Barat VIII
JAMES MUHAMMAD AL FATIH MARTIN;partai amanat nasional;Jawa Barat XI
JAMHUR SH., MH;partai amanat nasional;Lampung II
JAMIL ACHMAD;partai kebangkitan bangsa;Sulawesi Tengah
Dr. Ir JAMIL ANSARI SH, MM;partai berkarya;Aceh I
Drs JAMIL HANDALING;partai berkarya;Sulawesi Tenggara
JAMILAH AHADIYAH;partai persatuan pembangunan;Jawa Timur X
JAMILAH SIREGAR;partai gerakan indonesia raya;Sumatera Utara II
Dr.Ir JAMIN HABID MM;partai keadilan sejahtera;Nusa Tenggara Timur II
Drs JAN CHRISTOFEL BENYAMIN M.Si.;partai berkarya;Nusa Tenggara Timur II
Drs JAN PIETER ATE;persatuan indonesia;Nusa Tenggara Timur II
Drs JANTJE W.SAJOW M,Si;partai demokrasi indonesia perjuangan;Sulawesi Utara
JANUARI MARIANIE;partai bulan bintang;Jawa Barat V
Ir JANVIAR PAULUS SARAGIH;partai demokrasi indonesia perjuangan;Sumatera Utara I
JAORANA AMIRUDDIN, SP MSi;partai amanat nasional;Sulawesi Tenggara
Ir JARMUD ASDOD SEMUEL TAHUN;partai keadilan sejahtera;Nusa Tenggara Timur II
JARWATI S.Pd;partai kebangkitan bangsa;Jawa Tengah VIII
JASMIN KARTIASA SETIAWAN;partai gerakan indonesia raya;Jawa Barat V
JASMINE RAVASIA;partai berkarya;Sumatera Utara III
JATI ERNA SAHARA SS;partai solidaritas indonesia;Jawa Timur VI
JATI HARTANA S.E., M.M;persatuan indonesia;D. I. Yogyakarta
JAYANTI KUSUMANDARI S.E.;persatuan indonesia;Jawa Tengah III
JAZIM AS'ARI;partai kebangkitan bangsa;D. I. Yogyakarta
JEANNIE MARIA MONICA LATUMAHINA;persatuan indonesia;Jawa Timur VI
JEFFRY DANIEL WAWORUNTU;partai demokrasi indonesia perjuangan;Maluku
Dr JEFFRY J. WURANGIAN S.E.,M.Sc;partai demokrasi indonesia perjuangan;Sulawesi Utara
JEFRI HUTAGALUNG SE.MH;partai amanat nasional;Jambi
JELITA DONAL Lc;partai bulan bintang;Sumatera Barat II
JEMY YAPOLA;partai solidaritas indonesia;Jawa Tengah V
JENI WIDIANINGRUM A.Md;partai solidaritas indonesia;Jawa Barat II
Drs JENRI M.P PANJAITAN M.H;partai golongan karya;Jawa Barat VII
JENRI SINAGA S.E, M.M.;partai demokrasi indonesia perjuangan;Sumatera Utara III
JERRY BITTIKAKA;persatuan indonesia;Sulawesi Selatan III
JERRY FERNANDO SITUMEANG;partai solidaritas indonesia;Maluku
DR JERRY SAMBUAGA;partai golongan karya;Sulawesi Utara
JERRY SAPUTRA;partai berkarya;Riau II
JESSI DWI SUDA;partai gerakan indonesia raya;Sumatera Selatan I
JESSICA HERLIANI TANOESOEDIBJO M.I.T.C.L., M.A.Th;persatuan indonesia;Jawa Timur VII
JEZELIN GRACE S.Th;partai solidaritas indonesia;Dki Jakarta I
Ir. H JHONI HARTONO M. Sc.;partai amanat nasional;Nusa Tenggara Barat I
Drs JHONNY LAING IMPANG M.Si;partai demokrasi indonesia perjuangan;Kalimantan Utara
JHONSAR KARIAMAN LUMBANTORUAN S.Sos, M.Si;partai solidaritas indonesia;Sumatera Utara II
JOHAN ALBERT KNEEFEL SE.,MM;persatuan indonesia;Jawa Tengah I
JOHAN FIRDAUS;partai amanat nasional;Jawa Tengah IX
JOHANES SYARIFUDIN JULINAR;persatuan indonesia;Dki Jakarta III
dr JOHANIS EDWARD RAHAKBAUW;persatuan indonesia;Maluku
Ir JOHANNES BOYKE APRIADI NUGROHO;partai solidaritas indonesia;Banten I
JOHN O SAITAKELA S.T.;partai berkarya;Nusa Tenggara Timur II
JOHNNY WONDA;partai amanat nasional;Papua
Dr JOKO NUGROHO S.PAK., MA.;partai berkarya;Jawa Timur V
JOKO PRASETYO S.Sos., MM.;partai amanat nasional;Jawa Tengah VI
JOKO PURWANTO;partai golongan karya;Jawa Timur IX
JOKO SUDARMAWAN, SE;partai gerakan indonesia raya;Jawa Timur VIII
JON KENEDI M.;partai kebangkitan bangsa;Sumatera Barat II
JON RAMADHAN M.Si.;partai kebangkitan bangsa;Jawa Barat VII
JONAH SOSTENES WEYAI, SE;partai berkarya;Papua
JONATHAN;partai solidaritas indonesia;Jawa Tengah II
Drs JONATHAN NUBATONIS;persatuan indonesia;Nusa Tenggara Timur II
JONATHAN RUMAINUM S.E., MBA;persatuan indonesia;Papua Barat
JONNY BUYUNG SARAGI S.H., M.H.;partai gerakan indonesia raya;Sumatera Utara III
JORDIMAN PURBA SE;partai nasdem;Sumatera Utara III
JOZEPH M.O HUTAURUK SE;persatuan indonesia;Jawa Barat I
JUANDA SE., MM;partai amanat nasional;Sumatera Selatan II
JUANDA SETIA KIAI DEMAK;partai berkarya;Jawa Tengah I
JUBAEDAH;partai gerakan indonesia raya;Jawa Tengah I
JUDI DHARMAWAN S.Sos, CFP;partai solidaritas indonesia;Dki Jakarta III
JUDITH CATHERINA S.H;partai solidaritas indonesia;D. I. Yogyakarta
